OrgCode,OrgName,IMD - Average score ,IMD - Proportion of LSOAs in most deprived 10% nationally ,Born outside UK,No qualifications ,Routine occupations,Long-term unemployed,Rurality,Proficiency in English language: Main language is not English,% Ethnic minority
E06000001,Hartlepool,35.037,0.3621,0.039649533,0.231449,0.157164663,0.141003669,3,0.020979647,0.035413373
E06000002,Middlesbrough,40.46,0.4884,0.122880885,0.239443913,0.150608226,0.153241236,3,0.075718392,0.176310779
E06000003,Redcar and Cleveland,29.792,0.2386,0.029143991,0.220149187,0.149437872,0.123819443,4,0.010990916,0.023013257
E06000004,Stockton-on-Tees,25.79,0.2083,0.062397314,0.18632365,0.141003734,0.11362572,3,0.029750278,0.07963661
E06000005,Darlington,25.657,0.1846,0.07816399,0.192629417,0.152079905,0.102060042,3,0.042083325,0.056319344
E06000006,Halton,32.325,0.3165,0.047696882,0.210345557,0.163504829,0.099963443,3,0.026680811,0.035041019
E06000007,Warrington,18.942,0.0787,0.093608247,0.164737692,0.138335321,0.072100186,3,0.05437634,0.064785541
E06000008,Blackburn with Darwen,36.013,0.3626,0.180905789,0.242017271,0.150055644,0.143947318,3,0.124774738,0.396462476
E06000009,Blackpool,45.039,0.4149,0.078943823,0.245616297,0.149408195,0.123801992,3,0.044168745,0.053098788
E06000010,"Kingston upon Hull, City of",40.564,0.4518,0.130937445,0.25252478,0.204640985,0.120471112,3,0.100222847,0.082482875
E06000011,East Riding of Yorkshire,15.605,0.0619,0.049632541,0.182123273,0.129148577,0.073967259,5,0.021964196,0.02645413
E06000012,North East Lincolnshire,31.335,0.3019,0.065658368,0.242364123,0.204146768,0.106225641,3,0.038676286,0.037823237
E06000013,North Lincolnshire,22.096,0.1089,0.094129573,0.218445941,0.184387705,0.094165645,4,0.063858193,0.056764338
E06000014,York,11.727,0.0083,0.107769374,0.133383309,0.106378899,0.053061604,3,0.050846086,0.072250901
E06000015,Derby,26.323,0.1589,0.195872423,0.201449407,0.156837531,0.102136325,3,0.12950279,0.262059809
E06000016,Leicester,30.877,0.2031,0.411026399,0.266970891,0.210077796,0.134350001,3,0.300363921,0.591240222
E06000018,Nottingham,34.891,0.3077,0.24564629,0.19504241,0.146302062,0.106759533,2,0.143167236,0.340522502
E06000019,"Herefordshire, County of",18.89,0.0086,0.085952287,0.180197667,0.12309954,0.06199207,5,0.047693549,0.030925189
