OrgCode,OrgName,DTaP_IPV_5y,DTaP_IPV_Hib_5y,DTaP_IPV_Hib_HepB_12m,DTaP_IPV_Hib_HepB_24m,Hib_MenC_24m,Hib_MenC_5y,MenB_12m,MenB_booster_24m,MMR_24m,MMR1_5y,MMR2_5y,PCV_12m,PCV_24m,Rota_12m
E06000001,Hartlepool,82.52714709,94.96544916,94.67849224,93.94594595,91.02702703,93.48469891,94.90022173,90.16216216,90.91891892,95.55774926,84.50148075,96.78492239,91.35135135,92.23946785
E06000002,Middlesbrough,79.20293175,88.18140174,90.11406844,90.78212291,86.75977654,84.51672011,88.59315589,84.69273743,87.93296089,90.01374256,82.13467705,93.48180337,87.03910615,85.93155894
E06000003,Redcar and Cleveland,87.94425087,94.49477352,94.43585781,95.77702703,93.58108108,93.58885017,94.66769706,93.15878378,93.49662162,95.74912892,89.47735192,96.52241113,93.66554054,92.89026275
E06000004,Stockton-on-Tees,88.80497557,95.15770769,95.0101833,95.77822991,94.15055951,93.86939138,94.60285132,93.23499491,94.55747711,96.71257219,92.04797868,97.04684318,94.20142421,93.99185336
E06000005,Darlington,90.12345679,96.2962963,94.14455627,95.15209125,92.7756654,92.59259259,93.32113449,92.20532319,92.96577947,95.0617284,90.781893,95.24245197,92.20532319,91.03385178
E06000006,Halton,87.84419073,95.29885829,92.49448124,93.07324841,90.20700637,94.29147079,92.86239882,89.33121019,90.36624204,94.49294829,88.98589657,95.43782193,90.12738854,90.13980868
E06000007,Warrington,87.93969849,94.13735343,94.29280397,95.69945625,93.17844785,92.79731993,94.19354839,92.63470094,93.62333169,94.30485762,89.1959799,95.78163772,93.27731092,91.81141439
E06000008,Blackburn with Darwen,85.96491228,95.5465587,87.02989392,92.40196078,88.48039216,93.79217274,88.95853423,87.5,89.85294118,94.82681062,88.21412506,91.65863067,88.92156863,82.83510125
E06000009,Blackpool,84.09703504,94.55525606,91.66163142,93.53083434,89.78234583,92.5606469,91.29909366,88.51269649,90.44740024,94.12398922,87.38544474,93.89728097,89.90326481,88.33836858
E06000010,"Kingston upon Hull, City of",85.31293463,91.84979138,92.10134128,91.75638265,89.44940018,90.12517385,93.26378539,89.88003691,89.66471855,90.62586926,85.59109875,94.12816692,89.26484159,89.15052161
E06000011,East Riding of Yorkshire,94.21869838,97.52229931,97.32518151,97.18202589,95.12566641,96.36603898,97.70729843,95.39223153,95.23990861,96.7955071,94.41691444,98.16583875,95.46839299,95.03247994
E06000012,North East Lincolnshire,90.58084772,96.44165358,95.12195122,96.44389945,94.72716125,94.87179487,94.93433396,93.25567137,94.78847333,96.23233909,91.6274202,96.68542839,94.17535254,90.36898061
E06000013,North Lincolnshire,84.20502092,92.78242678,91.69632266,90.96313912,87.93103448,89.80125523,91.22182681,86.8608799,87.81212842,92.46861925,85.46025105,94.12811388,87.75267539,88.67141163
E06000014,York,84.98224252,95.02790462,91.10985277,94.49747333,90.56709714,90.51243024,90.88335221,89.27568782,86.24368332,94.72349061,86.45357686,94.50736127,91.01628299,89.9207248
E06000015,Derby,78.27538248,93.35187761,92.64346764,93.87067116,89.1817346,87.06536857,90.81196581,87.12840944,89.33496782,91.40472879,79.63838665,94.74969475,88.59944836,89.31623932
E06000016,Leicester,76.36859536,93.14241184,91.24518031,92.31947484,86.52078775,85.0185077,89.24926287,84.24507659,88.1619256,92.88914865,79.19345412,93.92152416,85.62363239,85.37083239
E06000018,Nottingham,72.96905222,89.70019342,87.67356192,89.37054632,84.35273159,82.90618956,87.05015585,82.92755344,84.8871734,89.24081238,75.12088975,91.01728535,84.20427553,84.89657127
E06000019,"Herefordshire, County of",86.6874675,94.53978159,95.07481297,95.79288026,93.2038835,92.66770671,94.13965087,91.84466019,93.78640777,93.96775871,88.09152366,96.19700748,93.07443366,92.26932668
E06000020,Telford and Wrekin,86.32879046,95.31516184,94.10912603,95.44145873,91.89059501,93.27086882,93.57798165,91.17082534,92.17850288,94.63373083,87.01022147,96.42684693,92.13051823,91.79140512
E06000021,Stoke-on-Trent,85.18623827,93.97213534,92.24806202,94.51847365,90.64203513,92.57890247,91.37984496,89.85463356,91.45972138,93.43190219,85.38527154,94.88372093,90.67231981,88.93023256
E06000022,Bath and North East Somerset,91.8226601,96.40394089,95.78313253,95.71353894,93.15211709,94.77832512,95.34501643,92.78619969,93.98849974,96.25615764,93.25123153,95.72836802,93.30893884,93.31872946
E06000023,"Bristol, City of",83.10156663,93.57507481,92.65971078,93.29640947,88.63636364,90.47702869,91.72615779,87.29946524,88.57906799,91.81482133,84.31614152,94.01427787,88.75095493,88.57770456
E06000024,North Somerset,90.16321129,97.13277459,95.63530553,96.18434093,93.95441031,95.14777239,95.3443259,93.06243806,94.10307235,96.33877371,91.44243494,97.1871969,93.75619425,93.01648885
E06000025,South Gloucestershire,90.63174114,96.79506934,95.6506489,96.53739612,94.35595568,94.63790447,94.38793406,93.55955679,94.63296399,96.17873652,91.64869029,96.66783585,94.70221607,93.58119958
E06000026,Plymouth,90.39920818,97.42659188,95.79100145,96.71273814,94.2099365,95.31507753,94.84760522,92.86514755,94.32200224,96.53579677,91.586935,96.84325109,93.76167352,93.14223512
E06000027,Torbay,88.69690425,95.75233981,94.40937782,93.78427788,91.22486289,93.30453564,93.68800721,89.94515539,91.40767824,94.312455,89.34485241,95.13074842,91.22486289,91.43372408
E06000030,Swindon,85.49839228,94.63022508,93.19196429,93.62934363,91.54440154,91.96141479,92.29910714,90.34749035,92.23938224,93.47266881,86.8488746,94.12202381,91.35135135,89.32291667
E06000031,Peterborough,74.89150651,87.35275883,84.72834068,85.41963016,80.33428165,80.81215127,83.44346549,78.62731152,80.44096728,85.55486671,75.72845629,87.92217327,79.6230441,80.28634361
