OrgCode,OrgName,DTaP_IPV_5y,DTaP_IPV_Hib_5y,DTaP_IPV_Hib_HepB_12m,DTaP_IPV_Hib_HepB_24m,Hib_MenC_24m,Hib_MenC_5y,MenB_12m,MenB_booster_24m,MMR_24m,MMR1_5y,MMR2_5y,PCV_12m,PCV_24m,Rota_12m
E06000001,Hartlepool,84.9,96.1,93.2,96.5,92.6,92.9,93.8,92.6,92.4,95.3,86.8,97.2,92.6,92.6
E06000002,Middlesbrough,81.8,92.4,90.2,90.7,87.5,88.2,89.5,85.8,87.9,91.8,84,93.3,87.5,87.9
E06000003,Redcar and Cleveland,89.8,97.4,95.4,95.5,93.3,95.2,96.2,92.7,93.2,97,92.8,97.2,93.3,93.1
E06000004,Stockton-on-Tees,89.3,97.3,96,96,95.4,95,96.4,94.4,95.6,97.2,92.5,97.8,95.4,95.1
E06000005,Darlington,90.3,96.9,95,95.1,93.1,93.7,94.2,93,93.1,94.9,90.3,96.3,93.2,93.3
E06000006,Halton,89,96.4,91.7,94.9,90.8,95.4,91.8,90.4,91,95.2,89.4,94.3,91.2,88.9
E06000007,Warrington,89.3,95.7,95.6,96.4,94.2,94.3,94.6,93.4,94.5,95.3,89.8,96.5,94.3,93.8
E06000008,Blackburn with Darwen,87,95.9,91.3,92.9,90.4,94.3,91.7,89.4,91.2,96,89.2,94.1,90.5,89.2
E06000009,Blackpool,87.1,96.1,92.2,94.4,92.3,95.3,91.8,91.3,92.5,96.1,89.9,94.4,92.1,91.1
E06000010,Kingston upon Hull,88,93.5,91.1,95.3,91,92,92.9,91.3,90.9,92.6,88.1,93.7,90.8,89.2
E06000011,East Riding of Yorkshire,95.1,97.8,96.5,97.9,95.9,96.6,97.1,96.3,96.3,96.9,95.2,97.6,96,95.3
E06000012,North East Lincolnshire,91.1,97.2,95.8,95.2,93,95.1,96,91.7,93.4,96.9,93.5,97.6,92.8,93.8
E06000013,North Lincolnshire,85,93.7,91,92.3,88.5,90.2,91.4,88,88.9,92.2,85.8,93.7,88.6,89.6
